generation,age_in_income_year,n_unweighted,n_weighted,median_real,mean_real,p25_real,p75_real,birth_year_min,birth_year_max,birth_years_observed,income_year_min,income_year_max,generation_birth_years,coverage_share,fully_covered,meets_min_records
Gen X (1965-1980),42,30943,50485303.635700166,58347.36555036973,79612.27617282365,34190.0672384811,95254.82928631635,1965,1980,16,2007,2022,16,1,TRUE,TRUE
Gen X (1965-1980),43,29686,49897171.78329954,59032.09302325582,80869.80765948516,34452.49057746317,96851.21688168979,1965,1980,16,2008,2023,16,1,TRUE,TRUE
Gen X (1965-1980),44,29149,51350989.81720005,59956.807171440945,82512.28996975596,34255.75510846706,99382.18435806684,1965,1980,16,2009,2024,16,1,TRUE,TRUE
Gen X (1965-1980),45,26199,47105696.07019999,60125.279931093886,83000.95734807361,35537.32,98467.39364682556,1965,1979,15,2010,2024,16,0.9375,FALSE,TRUE
Gen X (1965-1980),46,23779,44747931.88160029,60630.48172281352,82432.41204479177,34981.98105081826,98993.23865413087,1965,1978,14,2011,2024,16,0.875,FALSE,TRUE
Gen X (1965-1980),47,20776,40116359.354799904,61308.19542262025,82686.20745560482,36157.78763583086,99382.18435806684,1965,1977,13,2012,2024,16,0.8125,FALSE,TRUE
Gen X (1965-1980),48,18394,37134835.64419983,61578.28344088109,84662.89340541342,36784.91725357215,101202.86191571325,1965,1976,12,2013,2024,16,0.75,FALSE,TRUE
Gen X (1965-1980),49,18141,35280312.29920005,63293.248450117346,87143.15176007962,37269.85583584925,103071.81892878299,1965,1975,11,2014,2024,16,0.6875,FALSE,TRUE
Gen X (1965-1980),50,15692,31553177.376499955,63858.86963007333,88152.80016998445,38075.700000000004,104821.46953832601,1965,1974,10,2015,2024,16,0.625,FALSE,TRUE
Gen X (1965-1980),51,13567,27895819.483999863,64509.01372992018,87014.01147014514,38075.700000000004,103852.75624461671,1965,1973,9,2016,2024,16,0.5625,FALSE,TRUE
Gen X (1965-1980),52,11526,24691868.48240005,63760.52323952506,89026.19280830029,37594.89748832177,105317.35692177477,1965,1972,8,2017,2024,16,0.5,FALSE,TRUE
Gen X (1965-1980),53,9467,20914837.46290007,63190.41415306486,89749.08351074408,37311.92489735122,104473.38971258342,1965,1971,7,2018,2024,16,0.4375,FALSE,TRUE
Gen X (1965-1980),54,7605,17447453.92749995,63190.41415306486,85677.278697631,36861.07492262117,104264.18335255703,1965,1970,6,2019,2024,16,0.375,FALSE,TRUE
Gen X (1965-1980),55,6276,14714683.492799966,63190.41415306486,86248.93796612546,36378.28903368812,104821.46953832601,1965,1969,5,2020,2024,16,0.3125,FALSE,TRUE
Gen X (1965-1980),56,4770,11592731.71,63190.41415306486,89435.39332232466,38261.54177433247,104821.46953832601,1965,1968,4,2021,2024,16,0.25,FALSE,TRUE
Gen X (1965-1980),57,3447,8591454.880000012,61578.28344088109,87850.64656114005,36946.97006452865,102630.47240146848,1965,1967,3,2022,2024,16,0.1875,FALSE,TRUE
Gen X (1965-1980),58,2228,5672441.53,61578.28344088109,87655.48222061574,36861.07492262117,100577.86295343911,1965,1966,2,2023,2024,16,0.125,FALSE,TRUE
Gen X (1965-1980),59,1087,2647149.6900000037,61578.28344088109,84659.74100143458,35920.665340513966,97498.94878139505,1965,1965,1,2024,2024,16,0.0625,FALSE,TRUE
Gen Z (1997-2012),16,9077,15913351.26789997,4105.218896058739,8356.982664974896,1956.633675577344,8499.62859746514,1997,2008,12,2013,2024,16,0.75,FALSE,TRUE
Gen Z (1997-2012),17,11498,19864772.575899985,6534.065753029727,11999.50656242918,3031.524086140676,13976.195938443469,1997,2007,11,2014,2024,16,0.6875,FALSE,TRUE
Gen Z (1997-2012),18,10506,21411705.554900143,12209.394135602626,17198.68283721806,5131.523620073423,23293.65989740578,1997,2006,10,2015,2024,16,0.625,FALSE,TRUE
Gen Z (1997-2012),19,10200,23886168.746300016,15496.194701070366,20981.948533511608,6456.747792112653,29148.721771826655,1997,2005,9,2016,2024,16,0.5625,FALSE,TRUE
Gen Z (1997-2012),20,9370,22803567.099999998,20010.297815137208,24918.532148235558,9478.56212295973,33252.43661087727,1997,2004,8,2017,2024,16,0.5,FALSE,TRUE
Gen Z (1997-2012),21,8432,21546883.20789994,24043.095550917544,29117.48573839769,11035.475176071644,37973.274788543335,1997,2003,7,2018,2024,16,0.4375,FALSE,TRUE
